Name,Citations_All,H-Index_All,i10-Index_All,Journals,Journal Description,No. of Journals
Dr.Poomagal S,60,4,3,Certain Investigations on Improving Ranking and Grouping Mechanisms of Search Results Using Web Mining Techniques,"Web mining is broadly classified into three categories namely, Web Content Mining(WCM), Web Structure Mining(WSM)and Web Usage Mining(WUM). WCM analyses the content of web pagesusing different mining techniques. WSM finds the popularity score of a page by following link structure of the web. WUM analyses the data about the web users to predict future usage of the web. The thesis aims at improving the ordering and grouping of search results using WSM and WCM so that the user can select the relevant document in a faster manner. The first part of the thesis aims atimproving the existing WSMbased PageRank algorithm by includingweight for the links between the connected documents. For weight calculation, distance among the documents is calculated using Euclidean distance measure. Using the calculated distance values, weightvalues are computed. These weight values �",11
Dr.Thilaga M,154,8,4,FP-GraphMiner-A Fast Frequent Pattern Mining Algorithm for Network Graphs.,"In recent years, graph representations have been used extensively for modelling complicated structural information, such as circuits, images, molecular structures, biological networks, weblogs, XML documents and so on. As a result, frequent subgraph mining has become an important subfield of graph mining. This paper presents a novel Frequent Pattern Graph Mining algorithm, FP-GraphMiner, that compactly represents a set of network graphs as a Frequent Pattern Graph (or FP-Graph). This graph can be used to efficiently mine frequent subgraphs including maximal frequent subgraphs and maximum common subgraphs. The algorithm is space and time efficient requiring just one scan of the graph database for the construction of the FP-Graph, and the search space is significantly reduced by clustering the subgraphs based on their frequency of occurrence. A series of experiments performed on sparse, dense and complete graph data sets and a comparison with MARGIN, gSpan and FSMA using real time network data sets confirm the efficiency of the proposed FP-GraphMiner algorithm.",16
Dr.Thilaga M,154,8,4,Minimum connected component–a novel approach to detection of cognitive load induced changes in functional brain networks,"Recent advances in computational neuroscience have enabled trans-disciplinary researchers to address challenging tasks such as the identification and characterization of cognitive function in the brain. The application of graph theory has contributed to the modelling and understanding the brain dynamics. This paper presents a new approach based on a special graph theoretic concept called minimum connected component (MCC) to detect cognitive load induced changes in functional brain networks using EEG data. The results presented in this paper clearly demonstrate that the MCC based analysis of the functional brain networks derived from multi-channel EEG data is able to detect and quantify changes across the scalp in response to specific cognitive tasks. The MCC, due to its sensitivity to cognitive load, has the potential to be used as a tool not only to measure cognitive activity quantitatively, but also to …",16
Dr.Thilaga M,154,8,4,Breaking the Camel's Back: Can Cognitive Overload be Quantified in the Human Brain?,"Reductionism lies at the heart of science, yet this pre-occupation with the trees may mean that cognitive science is missing the forest. Based on the assumption that individual cognitive and perceptual processes interact to form bottle-necks of processing, which, in turn, have measurable detrimental effects on human performance, whole-head continuous EEG was recorded as participants undertook baseline, mild cognitive load and heavy cognitive load tasks. Behavioral measures (reaction times and error rates) showed significant performance decrements between the mild and heavy cognitive load conditions. Graph analysis and pattern identification was then used to identify a sub-set of cortical locations reflecting significant, measurable neural differences between the mild and heavy cognitive load states. This thus lays the foundation for future research into suitable metrics for more accurately measuring degree of …",16
Dr.Thilaga M,154,8,4,Computational techniques for characterizing cognition using EEG data–new approaches,"Identifying the integrative aspects of brain structure and function, specifically how the connections and interactions among neuronal elements (neurons, brain regions) result in cognition and behavior, is one of the last great frontiers for scientific research. Unraveling the activity of the brain's billions of neurons and how they combine to form functional networks has been and remains restricted by both technological and ethical constraints; thus, researchers are increasingly turning to sophisticated data search techniques such as complex network clustering and graph mining algorithms to further delve into the hidden workings of the human mind. By combining such techniques with more traditional inferential statistics and then applying these to multichannel Electroencephalography (EEG) data, it is believed that it is possible to both identify and accurately describe hidden patterns and correlations in functional brain …",16
Dr.Thilaga M,154,8,4,Change detection and visualization of functional brain networks using EEG data,"Mining dynamic and non-trivial patterns of interactions of functional brain networks has gained significance due to the recent advances in the field of computational neuroscience. Sophisticated data search capabilities, advanced signal processing techniques, statistical methods, complex network and graph mining algorithms to unfold and discover hidden patterns in the functional brain network supported with efficient visualization techniques are essential for making potential inferences of the results obtained. Visualization of change in activity during cognitive function is useful to discover and get insights into the hidden, novel and complex neuronal patterns and trends during the normal and cognitive load conditions from the graph/temporal representation of the functional brain network. This paper explores novel methods to detect and track the dynamics and complexity of the brain function. It also uses a new tool …",16
Dr.Thilaga M,154,8,4,A novel approach for detection and elimination of automorphic graphs in graph databases,"Graphs have become indispensable in modeling and representing complicated structured data such as proteins, chemical compounds, and XML documents. Development of graph databases for use in research and development is a well-established activity in pharmaceutical and chemical industries. Storing the graphs into large databases is a challenging task as it deals with efficient space and time management. Unlike item sets in huge transactional databases, it becomes essential to ensure the consistency of graph databases since relationships among edges of a graph are predominant. One of the necessary procedures required is a mechanism to check whether two graphs are automorphic. For graphs with more than one vertex with the same label, more than one adjacency matrix representations are possible based on the ordering of vertices with identical labels and there are possibilities that the same graph is stored more than once using different adjacency matrices, leading to adverse results in mining graph databases. Difficulty in identifying and eliminating the automorphic graphs is a challenging problem to the research community. In this paper, a proficient algorithm is devised that efficiently detects and avoids the same graph getting stored into the database. The computational time is also substantially reduced compared to the canonical labeling approach used in Frequent Subgraph Discovery algorithm. The experimental results and comparisons offer a positive response to the newly proposed algorithm.",16
Dr.Thilaga M,154,8,4,Shortest path based network analysis to characterize cognitive load states of human brain using EEG based functional brain networks,"Understanding and analyzing the dynamic interactions among the millions of spatially distributed and functionally connected regions in the human brain constituting a massively parallel communication system is one of the major challenges in computational neuroscience. Many studies in the recent past have employed graph theory to efficiently model, quantitatively analyze and understand the brain’s electrical activity. Since, the human brain is believed to broadcast information with reduced material and metabolic costs, identifying various brain regions in the shortest pathways of information dissemination becomes essential to understand the intricacies of brain functioning. This paper proposes a graph theoretic approach using the concept of shortest communication paths between various brain regions (electrode sites) to identify the significant communication pathways of information exchange between various …",16
Dr.Thilaga M,154,8,4,A novel pattern mining approach for identifying cognitive activity in EEG based functional brain networks,"The complex nature of neuronal interactions of the human brain has posed many challenges to the research community. To explore the underlying mechanisms of neuronal activity of cohesive brain regions during different cognitive activities, many innovative mathematical and computational models are required. This paper presents a novel Common Functional Pattern Mining approach to demonstrate the similar patterns of interactions due to common behavior of certain brain regions. The electrode sites of EEG-based functional brain network are modeled as a set of transactions and node-based complex network measures as itemsets. These itemsets are transformed into a graph data structure called Functional Pattern Graph. By mining this Functional Pattern Graph, the common functional patterns due to specific brain functioning can be identified. The empirical analyses show the efficiency of the proposed …",16
Dr.Thilaga M,154,8,4,A heuristic branch-and-bound based thresholding algorithm for unveiling cognitive activity from EEG data,"One of the biggest challenges in the field of computational neuroscience from the perspective of complex network analysis is the measurement of dynamic local and global interactions of the brain regions during cognitive function. Graph theoretic analysis has been extensively applied to study the dynamics of functional brain networks in the recent years. The selection of appropriate thresholding methods to construct weighted/unweighted subnetworks to detect cognitive load induced changes in brain׳s electrical activity remains an open challenge in the functional brain network research. This paper reviews the application of statistical and information theoretic metrics to construct the functional brain networks, proposes a novel Branch-and-Bound based thresholding algorithm that extracts the influential subnetwork, and applies efficient computational techniques and complex network metrics to detect and quantify the …",16
Dr.Thilaga M,154,8,4,Performance monitoring of large communication networks using maximum common subgraphs,"Measuring similarity of graphs is an important task in graph mining for matching, comparing, and evaluating patterns in huge graph databases. In managing huge-enterprise communication networks, the ability to measure similarity is an important performance monitoring function. It is possible to draw certain significant conclusions regarding effective utilization of networks by characterizing a computer network as a time series of graphs with IP addresses as nodes and communication between nodes as edges. The maximum common subnets of k network time series graphs give a measure of the utilization of network nodes at different intervals of time. The problem of finding the nodes in the communication network which are always active can be formulated as a Maximum Common Subgraph (MCS) detection problem which would be useful for various decision making tasks such as devising better routing algorithms …",16
Dr.Thilaga M,154,8,4,Computational neuroengineering approaches to characterise cognitive activity in EEG data,"The human brain is one of the most complex and adaptive systems available to society. The brain consists of tens of billion of neurons (processing nodes) and over 100 trillion interconnections. This makes it an extremely complex communication network. The brain functions at a neuronal level have been explored and understood. However, at a systems level, the brain functions relating to “self awareness, conscience, emotion, intelligence, and judgment” still puzzles scientists today. Identifying the integrative aspects of brain structure and function, specifically how the connections and interactions among neuronal elements (neurons, synapses, cerebellum and contextual regions) result in cognition and behavior, is one of the last great frontiers for scientific research. Unraveling the activity of the brain’s billions of neurons and how they combine to form functional networks has been constrained to behavioural …",16
Dr.Thilaga M,154,8,4,A divisive clustering algorithm for performance monitoring of large networks using maximum common subgraphs,"In managing huge-enterprise communication networks, the ability to measure similarity is an important performance monitoring function. It is possible to draw certain significant conclusions regarding effective utilization of networks by characterizing a computer network as a time series of graphs with IP addresses as nodes and communication between nodes as edges. Measuring similarity of graphs is a significant task in mining the graph data for matching, comparing, and evaluating patterns in huge graph databases. The problem of finding the nodes in the communication network which are always active can be formulated as a Maximum Common Subgraph (MCS) detection problem. This paper presents a Divisive Clustering MCS detection algorithm (DC-MCS) to find all maximum comomn subgraphs of k graphs in a graph database. The uniqueness of this algorithm lies in the facts that it considers any number of …",16
Dr.Thilaga M,154,8,4,Characterisation of cognitive activity using minimum connected component,"The concept of functional brain networks offers new and interesting avenues for studying human brain function. One such avenue, as described in the current paper, involves spanning subgraphs called Minimum Connected Components (MCC) that contain only the influential connections of such networks. This paper investigates cognitive load driven changes across different brain regions using these MCC sub-graphs constructed for different states of brain functioning under different degrees of cognitive load using the graph theoretic concept of clique. The presence of cliques signifies cohesive interconnections among the subsets of nodes in MCC that are tightly knit together. To further characterise the cognitive load state from that of the baseline state, the hemisphere wise interactions among the electrode sites are measured. The empirical analysis presented in this paper demonstrates the efficiency of the …",16
Dr.Thilaga M,154,8,4,Impact of Negative Correlations in Characterizing Cognitive Load States Using EEG Based Functional Brain Networks,"The human brain is one of the least understood large-scale complex systems in the universe that consists of billions of interlinked neurons forming massive complex connectome. Graph theoretical methods have been extensively used in the past decades to characterize the behavior of the brain during different activities quantitatively. Graph, a data structure, models the neurophysiological data as networks by considering the brain regions as nodes and the functional dependencies computed between them using linear/nonlinear measures as edge weights. These functional connectivity networks constructed by applying linear measures such as Pearson’s correlation coefficient include both positive and negative correlation values between the brain regions. The edges with negative correlation values are generally not considered for analysis by many researchers owing to the difficulty in understanding their …",16
Dr.Thilaga M,154,8,4,Challenges in identifying cognitive activity using EEG based functional brain networks,,16
Dr.Thilaga M,154,8,4,�Brain Strain: How much is too much?�,,16
Dr.Sai Sundara Krishnan G,477,12,13,A similarity measure of intuitionistic fuzzy soft sets and itsapplication in medical diagnosis,"In this paper, a new similarity measure and a weighted similarity measure on intuitionistic fuzzy soft sets (IFSSs) are proposed and some of their basic properties are discussed. Using the proposed similarity measure, a relation (≈ α) between two IFSSs are defined and it is found that the defined relation is not an equivalence relation. Further, the effectiveness of the proposed similarity measure is demonstrated in a numerical example with the help of measure of performance and measure of error. Moreover, medical diagnosis problems have been exhibited through a hypothetical case study by using this proposed similarity measure. Finally, the proposed method is applied to 10 different medical data sets from UCI Machine Learning Repository datasets and its similarity measures are calculated. The corresponding performance measures, like, accuracy, sensitivity, specificity, ROC curves, AUC values, and F …",20
Dr.Sai Sundara Krishnan G,477,12,13,On ?-semi-open sets in topological spaces,,20
Dr.Sai Sundara Krishnan G,477,12,13,Operation approaches on semi-open sets and applications,,20
Dr.Sai Sundara Krishnan G,477,12,13,ON A CLASS OF -PREOPEN SETS IN A TOPOLOGICAL SPACE,"In this paper we introduce the concept of -preopen sets in a topological space together with its corresponding -preclosure and -preinterior operators and a new class of topology which is generated by the class of -preopen sets. Also we introduce -pre spaces (i= 0, , 1, 2) and study some of its properties and we proved that if is a regular operation, then is a -pre space. Finally we introduce -precontinuous mappings and study some of its properties.",20
Dr.Sai Sundara Krishnan G,477,12,13,ON A CLASS OF -PREOPEN SETS IN A TOPOLOGICAL SPACE,"In this paper we introduce the concept of -preopen sets in a topological space together with its corresponding -preclosure and -preinterior operators and a new class of topology which is generated by the class of -preopen sets. Also we introduce -pre spaces (i= 0, , 1, 2) and study some of its properties and we proved that if is a regular operation, then is a -pre space. Finally we introduce -precontinuous mappings and study some of its properties.",20
Dr.Sai Sundara Krishnan G,477,12,13,A new class of semi open sets in a topological space,,20
Dr.Sai Sundara Krishnan G,477,12,13,Frontoethmoid mucocele: one-year follow-up after endoscopic frontoethmoidectomy.,"Endoscopic sinus surgery for frontal sinus mucocele is gaining popularity. A case study, and the CT scan of a large frontal mucocele with 1-year follow up is presented showing the lining of the sinus cavity well healed and the frontal sinus ostium as patent. Endoscopic sinus surgery, therefore, is a potentially useful method for treating large frontal mucoceles.",20
Dr.Sai Sundara Krishnan G,477,12,13,Operation approaches on α-γ-open sets in topological spaces,In this paper the notion of α-γ-open sets in a topological space together with its corresponding interior and closure operators are introduced. Further some of their basic properties are studied.,20
Dr.Sai Sundara Krishnan G,477,12,13,Fractional generalised homotopy analysis method for solving nonlinear fractional differential equations,"This paper presents a novel hybrid technique which is developed by incorporating the fractional derivatives in the generalised integral transform method. Homotopy analysis method is combined with fractional generalised integral transform method to solve the fractional order nonlinear differential equations. The performance of the proposed method is analysed by solving various categories of nonlinear fractional differential equations like Navier Stokes’s model and Riccatti equations, etc. Unlike the other analytical methods, the hybrid method provides a better way to control the convergence region of the obtained series solution through an auxiliary parameter h. Furthermore, as proposed in this paper, the ‘Fractional Generalised Homotopy Analysis Method’ along with the several examples reveal that this method can be effectively used as a tool for solving various kinds of nonlinear fractional differential equations.",20
Dr.Sai Sundara Krishnan G,477,12,13,Analysis of a fractional epidemic model by fractional generalised homotopy analysis method using modified Riemann-Liouville derivative,"This paper proposes the notion of a fractional generalised integral transform (Fractional G-transform) using modified Riemann-Liouville derivative with the Mittag-Leffler function as a kernel. We investigate the basic properties of the Fractional G-transform. In addition, the homotopy analysis is incorporated to introduce a hybrid Fractional Generalised Homotopy Analysis Method using Modified Riemann-Liouville Derivative, which is denoted as MRFGHAM. We highlight the merits of MRFGHAM and apply it to solve fractional nonlinear differential equations. The proposed method is implemented to formulate a fractional non-fatal disease epidemic model and to obtain the results of a spreading process subject to various settings of the fractional parameters. We also statistically validate the variations in the spread of the non-fatal disease obtained at different stages. Furthermore, the fractional power epidemic model is��",20
Dr.Sai Sundara Krishnan G,477,12,13,Soft g* closed and soft g*open sets in soft topological spaces,"In this paper, we introduce the concept of soft g* closed sets and soft g* open sets in soft topological space which are defined over an initial universe set with a fixed set of parameters together with its corresponding soft g* closure and soft g* interior operators. Also, we introduce the concept of soft and regular spaces and investigate the relationship between them.",20
Dr.Sai Sundara Krishnan G,477,12,13,A self-similar fractal Cantor antenna for MICS band wireless applications,"Low profile antenna in communication is a new methodology. Fractal geometry is a methodology through which size reduction is achieved. A Self-similar fractal antenna using multicantor technique is proposed and experimentally studied. Space-filling cantors and self-similarity properties of fractal geometry have been adopted in the proposed antenna to miniaturize the size of antenna. The antenna is designed in such a way to operate at MICS band (Medical Implant communication Service) for wireless telemedicine application. The prototype antenna exhibits wideband characteristics and provides a good agreement of return loss (S11). Experimental return loss has been compared with that which is obtained using method of moments. The objective of using self-similar concept in antenna makes it flexible in terms of controlling the resonance and bandwidth. In this paper, the Self-similar property of fractal geometry is examined by maintaining return loss (S11) more than �30 dB approximately in all the iterations (n) and the prototype antenna has return loss greater than �10 dB and exhibits wideband characteristics.",20
Dr.Sai Sundara Krishnan G,477,12,13,"Operation-compact spaces, regular spaces and normal spaces with α-γ-open sets in topological spaces","In this paper the concept of α-γ-compact spaces and α-γ0-compact spaces are introduced. Some of their properties are also studied. Further the concept of α-γ-Locally compact Spaces, α-γ-regular spaces α-γ and α-γ normal spaces are introduced. some of their properties are studied.",20
Dr.Sai Sundara Krishnan G,477,12,13,Molecular markers for harnessing heterosis,"Much energy has been expended on using molecular tools in an attempt to understand the molecular basis of heterosis and predict heterotic response in plants. These attempts have met with mixed success. The focus of this review is the use of molecular markers as predictive tools in the context of practical hybrid plant breeding, not the use of molecular markers to understand the basis of heterosis.",20
Dr.Sai Sundara Krishnan G,477,12,13,On α-γ-open sets in topological spaces,,20
Dr.Sai Sundara Krishnan G,477,12,13,Development and evaluation of iso-cytoplasmic rice restorer lines for different agro-morphological traits,"A set of 390 iso-cytoplasmic restorer lines were developed from 25 popular rice hybrids grown in India through pedigree breeding exercising selection for spikelet fertility, yield and extent of panicle exsertion were evaluated for various agromorphological traits. Correlation analysis showed that yield per plant was significantly correlated with number of tillers (0.208), panicle length (0.127) and spikelet fertility (0.134). Principal component analysis indicated that the first four principal components had eigenvalue of> 1.0 and cumulatively explained 74.3% of total variance. Grain characters namely, test weight (0.451), kernel length before cooking (0.418), kernel breadth before cooking (0.136) and spikelet fertility (0.402) contributed positively towards principal component I. Yield per plant showed a positively skewed distribution with panicle length and a nearly linear relationship with spikelet fertility. A core set of 21 genotypes capturing the entire range of phenotype for different traits, was identified from 390 genotypes using advanced M (maximization) strategy and statistically validated. Besides this, promising iso-cytoplasmic restorer lines originating from different hybrids were identified for various agromorphological traits. This is the first report on developing iso-cytoplasmic restorers from popular rice hybrids, which can be used in developing heterotic hybrids when crossed with diverse non-parental CMS lines.",20
Dr.Sai Sundara Krishnan G,477,12,13,On Chaotic Behavior of Temperature Distribution in a Heat Exchanger,The objective of this paper is to introduce the notion of fractional derivatives in the energy equations and to study the chaotic nature of the temperature distribution in a heat exchanger with variation of temperature dependent transport properties. The governing fractional partial differential equations are transformed to a set of recurrence relations using fractional differential transform method and solved using inverse transform. The approximate analytical solution obtained by the proposed method has good agreement with the existing results.,20
Dr.Sai Sundara Krishnan G,477,12,13,Isotonic separation with an instance selection algorithm using softset: Theory and experiments,"In supervised machine learning, a training set containing labeled instances is taken by a learning algorithm to construct a model that is subsequently used for determining the class label of new instances. Isotonic separation is a supervised machine learning technique in which classification is represented as a Linear Programming Problem (LPP) with an objective of minimizing the number of misclassifications. It is computationally expensive to solve the LPP using traditional methods for a large dataset. Characteristics of the training set such as size, presence of noisy data, influence the learning algorithm and classification performance. To resolve this issue, this paper introduces a new linearithmic time algorithm called Soft set based instance selection algorithm (SOFIA) which provides a condensed dataset for a learning algorithm. And, a hybrid classification algorithm, SOFIAIS which utilizes SOFIA for instance selection and isotonic separation (IS) for classification is introduced. Two sets of experimental studies are conducted on Wisconsin Breast Cancer dataset and the results are reported. First, experiments are performed on SOFIA-IS and the results are compared with isotonic separation and its variants. Then experiments are done on state of the art machine learning techniques by including SOFIA for instance selection and the results are compared with same techniques without SOFIA. Experimental and statistical results show that the condensed sets obtained by SOFIA are optimum, and SOFIA-IS and SOFIA based machine learning techniques are better in terms of classification accuracy, time and space complexity.",20
Dr.Sai Sundara Krishnan G,477,12,13,Solving Black–Scholes equations using fractional generalized homotopy analysis method,"This paper aims to solve the Black–Scholes (B–S) model for the European options pricing problem using a hybrid method called fractional generalized homotopy analysis method (FGHAM). The convergence region of the B–S model solutions are clearly identified using h-curve and the closed form series solutions are produced using FGHAM. To verify the convergence of the proposed series solutions, sequence of errors are obtained by estimating the deviation between the exact solution and the series solution, which is increased in number of terms in the series. The convergence of sequence of errors is verified using the convergence criteria and the results are graphically illustrated. Moreover, the FGHAM approach has overcome the difficulties of applying multiple integration and differentiation procedures while obtaining the solution using well-established methods such as homotopy analysis method and …",20
Dr.Sai Sundara Krishnan G,477,12,13,Morphological markers for identification of hybrids and their parental lines in tomato (Solanum lycopersicum).,"Four hybrids, viz, PH-1, 2, 4 and 8 and their parental lines were studied for developing identification keys using morphological characters. Out of 39 characters studied, fourteen qualitative and six quantitative characters were polymorphic for identifying the parents from the hybrids and also among themselves. Characters like stem anthocyanin pigmentation on upper one-third portion, fruit green shoulder, leaflet petiole attitude with respect to main axis, leaf serration, stem pubescence, fruit shape at blossom end, fruit shape in longitudinal section and stigma lobes were important for development of identification keys. These characters were stable during two growing seasons (rabi 2014-15 and rabi 2015-16) and no variation was observed for any character in any genotype. A combination of these morphological markers could effectively utilized for distinguishing all the hybrids and their parental lines under study.",20
Dr.Senthil Kumar M,349,12,14,On the single server Batch Arrival Retrial Queue with General vacation Time under Bernoulli schedule and two phases of Heterogeneous service,"We consider a single server retrial queue with batch arrivals, two phases of heterogeneous service and a general vacation time under Bernoulli schedule. We carry out steady state system size distribution of number of customers in retrial group, expected number of customers in retrial group and expected waiting time of the customers in the orbit. We discuss its application of the proposed model to the analysis of a communication protocol.",20
Dr.Senthil Kumar M,349,12,14,An MX/G/1 retrial queue with two-phase service subject to active server breakdowns and two types of repair,"This paper analyses a single server batch arrival retrial queue with active breakdowns, two types of repair and second optional service (SOS). The server provides preliminary first essential service (FES) to the primary arriving customers or customers from retrial group. The server is subject to breakdowns. The customer under service during the failure decides, with probability q, to join the orbit (impatient customer) and, with complementary probability 'p', to remain in the server for repair in order to conclude his remaining service (patient customer). It is considered that the repair time of server during the presence of patient customer and the repair time of the server while the customer (impatient customer) joining the orbit due to failure are different. On completion of FES successfully, the customer may opt for SOS with probability α. Reliability of the proposed model is analysed. Some particular cases are also discussed …",20
Dr.Senthil Kumar M,349,12,14,System Dynamics of a Refined Epidemic Model for Infection Propagation Over Complex Networks,"The ability to predict future epidemic threats, both in real and digital worlds, and to develop effective containment strategies heavily leans on the availability of reliable infection spreading models. The stochastic behavior of such processes makes them even more demanding to scrutinize over structured networks. This paper concerns the dynamics of a new susceptible-infected-susceptible (SIS) epidemic model incorporated with multistage infection (infection delay) and an infective medium (propagation vector) over complex networks. In particular, we investigate the critical epidemic thresholds and the infection spreading pattern using mean-field approximation (MFA) and results obtained through extensive numerical simulations. We further generalize the model for any arbitrary number of infective media to mimic existing scenarios in biological and social networks. Our analysis and simulation results reveal that the��",20
Dr.Senthil Kumar M,349,12,14,Performance analysis of an unreliable M/G/1 retrial queue with two-way communication,"Efficient use of call center operators through technological innovations more often come at the expense of added operation management issues. In this paper, the stationary characteristics of an M/G/1 retrial queue is investigated where the single server, subject to active failures, primarily attends incoming calls and directs outgoing calls only when idle. The incoming calls arriving at the server follow a Poisson arrival process, while outgoing calls are made in an exponentially distributed time. On finding the server unavailable (either busy or temporarily broken down), incoming calls intrinsically join the virtual orbit from which they re-attempt for service at exponentially distributed time intervals. The system stability condition along with probability generating functions for the joint queue length distribution of the number of calls in the orbit and the state of the server are derived and evaluated numerically in the …",20
